District,Area,Rooms,Building,Owner,Full_price
Mokotów,37.0,2.0,blok,prywatny,4240.0
Ochota,50.0,2.0,blok,prywatny,3000.0
Żoliborz,36.98,2.0,blok,biuro nieruchomości,3342.0
Ursynów,46.0,2.0,apartamentowiec,biuro nieruchomości,3200.0
Śródmieście,59.0,2.0,apartamentowiec,biuro nieruchomości,5100.0
Ursynów,65.0,3.0,blok,biuro nieruchomości,3950.0
Bemowo,99.0,4.0,blok,biuro nieruchomości,6450.0
Bielany,43.0,2.0,blok,prywatny,3900.0
Białołęka,54.0,2.0,apartamentowiec,prywatny,3500.0
Żoliborz,38.0,2.0,blok,prywatny,3400.0
Ochota,45.0,2.0,apartamentowiec,prywatny,6800.0
Bielany,59.5,2.0,kamienica,biuro nieruchomości,3600.0
Praga-Północ,50.0,2.0,apartamentowiec,prywatny,4001.0
Ochota,36.3,1.0,blok,biuro nieruchomości,2500.0
Ochota,72.0,3.0,blok,biuro nieruchomości,5600.0
Praga-Północ,42.0,1.0,kamienica,prywatny,3500.0
Śródmieście,137.0,2.0,blok,biuro nieruchomości,29000.0
Ochota,71.0,3.0,blok,prywatny,7500.0
Śródmieście,160.0,4.0,blok,biuro nieruchomości,45000.0
Śródmieście,100.0,2.0,apartamentowiec,biuro nieruchomości,25000.0
Ochota,78.0,2.0,apartamentowiec,prywatny,6200.0
Targówek,44.0,2.0,apartamentowiec,prywatny,3400.0
Śródmieście,37.5,2.0,blok,biuro nieruchomości,2700.0
Śródmieście,100.0,2.0,blok,biuro nieruchomości,28000.0
Śródmieście,161.2,3.0,apartamentowiec,biuro nieruchomości,40000.0
Praga-Północ,27.0,1.0,blok,prywatny,2700.0
Wola,67.0,2.0,blok,prywatny,4500.0
Śródmieście,100.0,2.0,blok,biuro nieruchomości,25000.0
Śródmieście,100.0,2.0,blok,biuro nieruchomości,26000.0
Śródmieście,62.0,2.0,apartamentowiec,biuro nieruchomości,7500.0
Mokotów,55.0,2.0,blok,biuro nieruchomości,4670.0
Śródmieście,142.0,3.0,blok,biuro nieruchomości,35000.0
Śródmieście,160.0,4.0,blok,biuro nieruchomości,30000.0
Śródmieście,227.0,5.0,blok,biuro nieruchomości,35000.0
Ochota,39.0,2.0,blok,prywatny,3600.0
Wilanów,134.0,5.0,apartamentowiec,biuro nieruchomości,19500.0
Praga-Północ,73.0,3.0,apartamentowiec,prywatny,6601.0
Wola,27.5,1.0,apartamentowiec,prywatny,3500.0
Wola,85.0,3.0,blok,biuro nieruchomości,6500.0
Ursynów,74.0,3.0,blok,prywatny,6500.0
Wola,35.0,2.0,apartamentowiec,prywatny,6600.0
Śródmieście,100.47,3.0,kamienica,biuro nieruchomości,9100.0
Wola,26.0,1.0,blok,prywatny,3100.0
Wola,28.0,1.0,blok,biuro nieruchomości,2901.0
Wawer,200.0,5.0,apartamentowiec,prywatny,14000.0
Mokotów,42.5,2.0,kamienica,biuro nieruchomości,4000.0
Bemowo,47.0,2.0,blok,prywatny,3300.0
Wola,32.0,1.0,apartamentowiec,prywatny,3350.0
Wola,42.51,2.0,apartamentowiec,biuro nieruchomości,4200.0
Wilanów,210.0,4.0,apartamentowiec,biuro nieruchomości,28000.0
Wilanów,80.0,3.0,apartamentowiec,biuro nieruchomości,7700.0
Wilanów,54.0,1.0,apartamentowiec,biuro nieruchomości,4600.0
Bemowo,99.0,3.0,apartamentowiec,biuro nieruchomości,6800.0
Wilanów,153.0,4.0,apartamentowiec,biuro nieruchomości,22000.0
Wola,37.8,1.0,apartamentowiec,biuro nieruchomości,3800.0
Śródmieście,35.0,1.0,apartamentowiec,prywatny,4450.0
Śródmieście,65.0,2.0,kamienica,biuro nieruchomości,7500.0
Praga-Południe,48.0,3.0,blok,prywatny,4500.0
Śródmieście,90.0,3.0,apartamentowiec,biuro nieruchomości,12000.0
Śródmieście,131.0,4.0,apartamentowiec,biuro nieruchomości,30000.0
Śródmieście,125.0,3.0,kamienica,biuro nieruchomości,27000.0
Bemowo,47.0,2.0,blok,prywatny,3945.0
Śródmieście,111.24,3.0,kamienica,biuro nieruchomości,17000.0
Wilanów,123.0,3.0,apartamentowiec,biuro nieruchomości,20000.0
Śródmieście,186.0,4.0,kamienica,biuro nieruchomości,23000.0
Ursynów,44.0,2.0,blok,prywatny,3950.0
Śródmieście,77.0,2.0,kamienica,biuro nieruchomości,18000.0
Śródmieście,200.0,7.0,kamienica,biuro nieruchomości,20000.0
Śródmieście,130.0,4.0,apartamentowiec,biuro nieruchomości,30000.0
Praga-Południe,64.0,3.0,blok,prywatny,6500.0
Praga-Południe,55.4,2.0,blok,biuro nieruchomości,4000.0
Mokotów,30.0,2.0,kamienica,biuro nieruchomości,4395.0
Ochota,38.0,2.0,apartamentowiec,biuro nieruchomości,3400.0
Włochy,22.0,2.0,dom wolnostojący,prywatny,2600.0
Mokotów,50.0,2.0,blok,prywatny,4350.0
Ochota,38.0,2.0,apartamentowiec,prywatny,2551.0
Wola,31.49,1.0,apartamentowiec,prywatny,4410.0
Wilanów,84.0,3.0,apartamentowiec,prywatny,7238.0
Mokotów,83.0,3.0,apartamentowiec,biuro nieruchomości,8000.0
Śródmieście,57.0,2.0,kamienica,biuro nieruchomości,5000.0
Ursynów,80.0,4.0,blok,prywatny,5840.0
Wilanów,106.0,3.0,apartamentowiec,biuro nieruchomości,12500.0
Ursus,42.0,2.0,blok,biuro nieruchomości,2700.0
Wola,41.0,2.0,blok,biuro nieruchomości,3650.0
Bielany,42.5,2.0,blok,prywatny,4900.0
Bemowo,27.0,1.0,blok,prywatny,2900.0
Wilanów,63.5,4.0,blok,biuro nieruchomości,5100.0
Mokotów,110.0,3.0,apartamentowiec,biuro nieruchomości,9500.0
Ochota,70.0,2.0,kamienica,biuro nieruchomości,4500.0
Bielany,55.0,2.0,blok,biuro nieruchomości,4900.0
Wola,80.0,2.0,blok,biuro nieruchomości,6300.0
Ochota,23.0,2.0,blok,prywatny,4000.0
Wola,21.0,1.0,apartamentowiec,prywatny,3300.0
Wilanów,100.0,3.0,blok,prywatny,10000.0
Wola,28.0,1.0,blok,prywatny,3010.0
Mokotów,37.0,2.0,blok,prywatny,3760.0
Wola,66.0,3.0,apartamentowiec,prywatny,5500.0
Wola,29.0,1.0,blok,prywatny,2724.0
Wola,49.0,2.0,apartamentowiec,biuro nieruchomości,4200.0
Śródmieście,40.0,1.0,kamienica,biuro nieruchomości,3850.0
Śródmieście,43.0,2.0,apartamentowiec,biuro nieruchomości,5699.0
Ursus,47.0,2.0,blok,prywatny,3100.0
Bielany,46.0,2.0,kamienica,prywatny,5300.0
