Name,Price,District,Street,Czynsz,Area,Rooms,Building,Owner
"Mieszkanie do wynajęcia Saska Kępa, Warszawa",2 700,Saska Kępa,ul. Jana Styki 18,650,35,1,kamienica,prywatny
Nowe | 2 pokojowe | Woronicza 82 | Bezpośrednio,3 670,Mokotów,ul. Jana Pawła Woronicza 82,570,37,2,blok,prywatny
Wynajme Luksusowe Mieszkanie - Park Skaryszewski,9 000,Kamionek,ul. Stanisława Augusta,1 980,179,7,apartamentowiec,prywatny
"Bezpośrednio. Ochota, ul. Korotyńskiego.",3 000,Ochota,ul. Władysława Korotyńskiego,0,50,2,blok,prywatny
2-pokojowe mieszkanie z dużym balkonem i garażem,3 342,Żoliborz,Jerzego Ficowskiego,0,"36,98",2,blok,biuro nieruchomości
"56 M 2 pok, w apartamentowcu z garażem.",2 400,Kabaty,ul. Stefana Dembego,1 070,56,2,apartamentowiec,biuro nieruchomości
Mieszkanie - Warszawa Mokotów Służewiec,4 800,Służewiec,ul. Obrzeżna,550,62,2,Zapytaj,biuro nieruchomości
Wysoki Standard Ursynów Kabaty *2 pokoje*46mkw mie,2 500,Ursynów,ul. Stefana Dembego,700,46,2,apartamentowiec,biuro nieruchomości
Bez prowizji! Piękny apartament na Powiślu,3 800,Śródmieście,,1 300,59,2,apartamentowiec,biuro nieruchomości
"Port Praski, zupełnie nowe, studio!",3 000,Praga-Północ,ul. Józefa Sierakowskiego,1,33,1,Zapytaj,prywatny
Wygodne 3 pokoje 65m2 Metro Stokłosy od 1 kwietnia,2 900,Ursynów,ul. Zamiany,1 050,65,3,blok,biuro nieruchomości
Stare Miasto klimatyczne,4 200,Stare Miasto,ul. Podwale,0,60,3,kamienica,biuro nieruchomości
Przestronne 4 pokojowe mieszkanie na Bemowie,5 000,Bemowo,ul. Obrońców Tobruku 25,1 450,99,4,blok,biuro nieruchomości
2-pokojowe mieszkanie +balkon | Metro Słodowiec,3 200,Bielany,Słodowiec City,700,43,2,blok,prywatny
Rozkładowe z obszernym tarasem w Miasteczku,6 900,Wilanów,ul. Prymasa Augusta Hlonda,0,"74,92",3,Zapytaj,biuro nieruchomości
"Centrum, ul. Smolna 53m, 2 pok, kamienica, winda",3 300,Śródmieście Południowe,ul. Smolna,1,53,2,kamienica,biuro nieruchomości
Mieszkanie 4 pok. w kamienicy przy ul. Koszykowej,5 900,Śródmieście Południowe,,1 500,88,4,kamienica,biuro nieruchomości
3 pok do metra 5 min tramwajem,3 000,Tarchomin,,800,49,3,apartamentowiec,biuro nieruchomości
"Bezpośrednio 3 pok, 73m, ciche, wysoki standard",4 900,Szczęśliwice,ul. Zadumana,1 000,"73,3",3,blok,prywatny
